http://dx.doi.org/10.1016/j.aml.2010.08.002 || New spectral PRP conjugate gradient method for unconstrained optimization. || ['Zhong Wan', 'ZhanLu Yang', 'YaLin Wang']
http://dx.doi.org/10.1016/j.neuroimage.2013.08.015 || Bi-level multi-source learning for heterogeneous block-wise missing data. || ['Shuo Xiang', 'Lei Yuan', 'Wei Fan', 'Yalin Wang', 'Paul M. Thompson', 'Jieping Ye']
http://dx.doi.org/10.1117/12.2043570 || Characterizing human retinotopic mapping with conformal geometry: a preliminary study. || ['Duyan Ta', 'Jie Shi', 'Brian Barton', 'Alyssa A. Brewer', 'Zhonglin Lu', 'Yalin Wang']
http://dx.doi.org/10.1117/12.2042720 || Evaluating the predictive power of multivariate tensor-based morphometry in Alzheimer's disease progression via convex fused sparse group Lasso. || ['Sinchai Tsao', 'Niharika Gajawelli', 'Jiayu Zhou', 'Jie Shi', 'Jieping Ye', 'Yalin Wang', 'Natasha Leporé']
http://dx.doi.org/10.1117/12.2043245 || 3D pre- versus post-season comparisons of surface and relative pose of the corpus callosum in contact sport athletes. || ['Yi Lao', 'Niharika Gajawelli', 'Lauren Haas', 'Bryce Wilkins', 'Darryl Hwang', 'Sinchai Tsao', 'Yalin Wang', 'Meng Law', 'Natasha Leporé']
http://dx.doi.org/10.1007/s11263-012-0586-8 || Teichmüller Shape Descriptor and Its Application to Alzheimer's Disease Study. || ['Wei Zeng', 'Rui Shi', 'Yalin Wang', 'Shing-Tung Yau', 'Xianfeng Gu']
http://dx.doi.org/10.1155/2013/841780 || A Hybrid Multiobjective Differential Evolution Algorithm and Its Application to the Optimization of Grinding and Classification. || ['Yalin Wang', 'Xiaofang Chen', 'Weihua Gui', 'Chunhua Yang', 'Lou Caccetta', 'Honglei Xu']
http://dx.doi.org/10.1016/j.neuroimage.2012.12.052 || Maximizing power to track Alzheimer's disease and MCI progression by LDA-based weighting of longitudinal ventricular surface features. || ['Boris Gutman', 'Xue Hua', 'Priya Rajagopalan', 'Yi-Yu Chou', 'Yalin Wang', 'Igor Yanovsky', 'Arthur W. Toga', 'Clifford R. Jack Jr.', 'Michael W. Weiner', 'Paul M. Thompson']
http://dx.doi.org/10.1016/j.neuroimage.2013.02.011 || Applying tensor-based morphometry to parametric surfaces can improve MRI-based disease diagnosis. || ['Yalin Wang', 'Lei Yuan', 'Jie Shi', 'Alexander Greve', 'Jieping Ye', 'Arthur W. Toga', 'Allan L. Reiss', 'Paul M. Thompson']
http://dx.doi.org/10.1016/j.neuroimage.2013.04.018 || Surface fluid registration of conformal representation: Application to detect disease burden and genetic influence on hippocampus. || ['Jie Shi', 'Paul M. Thompson', 'Boris Gutman', 'Yalin Wang']
http://dx.doi.org/10.4108/icst.bodynets.2013.253728 || Design and Implementation of a Wireless Chest Compression Monitoring and Feedback System. || ['Guang Zhang', 'Jie-Wen Zheng', 'Hengzhi Lu', 'Chunfei Wang', 'Yalin Wang', 'Tai-Hu Wu']
http://dx.doi.org/10.1109/CVPR.2013.290 || Area Preserving Brain Mapping. || ['Zhengyu Su', 'Wei Zeng', 'Rui Shi', 'Yalin Wang', 'Jian Sun', 'Xianfeng Gu']
http://dx.doi.org/10.1109/CVPR.2013.327 || Hyperbolic Harmonic Mapping for Constrained Brain Surface Registration. || ['Rui Shi', 'Wei Zeng', 'Zhengyu Su', 'Hanna Damasio', 'Zhonglin Lu', 'Yalin Wang', 'Shing-Tung Yau', 'Xianfeng Gu']
http://dx.doi.org/10.1007/978-3-642-38868-2_14 || Hyperbolic Harmonic Brain Surface Registration with Curvature-Based Landmark Matching. || ['Rui Shi', 'Wei Zeng', 'Zhengyu Su', 'Yalin Wang', 'Hanna Damasio', 'Zhonglin Lu', 'Shing-Tung Yau', 'Xianfeng Gu']
http://doi.acm.org/10.1145/2487575.2487594 || Multi-source learning with block-wise missing data for Alzheimer's disease prediction. || ['Shuo Xiang', 'Lei Yuan', 'Wei Fan', 'Yalin Wang', 'Paul M. Thompson', 'Jieping Ye']
http://dx.doi.org/10.1007/978-3-319-05666-1_1 || Statistical Analysis of Relative Pose of the Thalamus in Preterm Neonates. || ['Yi Lao', 'Jie Shi', 'Yalin Wang', 'Rafael Ceschin', 'Darryl Hwang', 'Marvin D. Nelson', 'Ashok Panigrahy', 'Natasha Lepore']
http://dx.doi.org/10.1007/978-3-319-02126-3_23 || A Heat Kernel Based Cortical Thickness Estimation Algorithm. || ['Gang Wang', 'Xiaofeng Zhang', 'Qingtang Su', 'Jiannong Chen', 'Lili Wang', 'Yunyan Ma', 'Qiming Liu', 'Liang Xu', 'Jie Shi', 'Yalin Wang']
http://dx.doi.org/10.1016/j.neuroimage.2012.03.059 || Multi-source feature learning for joint analysis of incomplete multiple heterogeneous neuroimaging data. || ['Lei Yuan', 'Yalin Wang', 'Paul M. Thompson', 'Vaibhav A. Narayan', 'Jieping Ye']
http://dx.doi.org/10.1109/TMI.2011.2168233 || Brain Surface Conformal Parameterization With the Ricci Flow. || ['Yalin Wang', 'Jie Shi', 'Xiaotian Yin', 'Xianfeng Gu', 'Tony F. Chan', 'Shing-Tung Yau', 'Arthur W. Toga', 'Paul M. Thompson']
http://ieeexplore.ieee.org/document/6411997/ || Surface fluid registration and multivariate tensor-based morphometry in newborns - the effects of prematurity on the putamen. || ['Jie Shi', 'Yalin Wang', 'Rafael Ceschin', 'Xing An', 'Marvin D. Nelson', 'Ashok Panigrahy', 'Natasha Lepore']
http://dx.doi.org/10.1109/ISBI.2012.6235524 || Conformal mapping of nuclei in 3D tomographic cell images to assess shape heterogeneity. || ['Vivek Nandakumar', 'Xing An', 'Yalin Wang', 'Roger H. Johnson', 'Deirdre R. Meldrum']
http://dx.doi.org/10.1109/ISBI.2012.6235648 || Shape matching with medial curves and 1-D group-wise registration. || ['Boris Gutman', 'Yalin Wang', 'Priya Rajagopalan', 'Arthur W. Toga', 'Paul M. Thompson']
http://doi.acm.org/10.1145/2339530.2339710 || Multi-source learning for joint analysis of incomplete multi-modality neuroimaging data. || ['Lei Yuan', 'Yalin Wang', 'Paul M. Thompson', 'Vaibhav A. Narayan', 'Jieping Ye']
http://dx.doi.org/10.1007/978-3-642-33530-3_6 || Hyperbolic Ricci Flow and Its Application in Studying Lateral Ventricle Morphometry. || ['Jie Shi', 'Paul M. Thompson', 'Yalin Wang']
http://dx.doi.org/10.1007/978-3-642-33415-3_42 || Modeling Dynamic Cellular Morphology in Images. || ['Xing An', 'Zhiwen Liu', 'Yonggang Shi', 'Ning Li', 'Yalin Wang', 'Shantanu H. Joshi']
http://dx.doi.org/10.1016/j.neuroimage.2011.03.040 || Surface-based TBM boosts power to detect disease effects on the brain: An N = 804 ADNI study. || ['Yalin Wang', 'Yang Song', 'Priya Rajagopalan', 'Tuo An', 'Krystal Liu', 'Yi-Yu Chou', 'Boris Gutman', 'Arthur W. Toga', 'Paul M. Thompson']
http://dx.doi.org/10.1109/ISCID.2011.127 || Accumulation Model of Urban Cultural Capital and its Simulation. || ['Lina Zhao', 'Yalin Wang']
http://dx.doi.org/10.1007/978-3-642-24446-9_16 || Human Brain Mapping with Conformal Geometry and Multivariate Tensor-Based Morphometry. || ['Jie Shi', 'Paul M. Thompson', 'Yalin Wang']
http://dx.doi.org/10.1016/j.neuroimage.2009.10.086 || Multivariate tensor-based morphometry on surfaces: Application to mapping ventricular abnormalities in HIV/AIDS. || ['Yalin Wang', 'Jie Zhang 0026', 'Boris Gutman', 'Tony F. Chan', 'James T. Becker', 'Howard Aizenstein', 'Oscar L. Lopez', 'Robert J. Tamburo', 'Arthur W. Toga', 'Paul M. Thompson']
http://dx.doi.org/10.1137/080738386 || Optimized Conformal Surface Registration with Shape-based Landmark Matching. || ['Lok Ming Lui', 'Sheshadri R. Thiruvenkadam', 'Yalin Wang', 'Paul M. Thompson', 'Tony F. Chan']
http://dx.doi.org/10.1016/j.compchemeng.2009.01.005 || Modeling and optimal-setting control of blending process in a metallurgical industry. || ['Chunhua Yang', 'Weihua Gui', 'Lingshuang Kong', 'Yalin Wang']
http://dx.doi.org/10.1016/j.engappai.2008.11.003 || A two-stage intelligent optimization system for the raw slurry preparing process of alumina sintering production. || ['Chunhua Yang', 'Weihua Gui', 'Lingshuang Kong', 'Yalin Wang']
http://dx.doi.org/10.1109/CVPRW.2009.5206578 || Shape analysis with conformal invariants for multiply connected domains and its application to analyzing brain morphology. || ['Yalin Wang', 'Xianfeng Gu', 'Tony F. Chan', 'Paul M. Thompson']
http://dx.doi.org/10.1109/ICCV.2009.5459422 || Shape analysis with multivariate tensor-based morphometry and holomorphic differentials. || ['Yalin Wang', 'Tony F. Chan', 'Arthur W. Toga', 'Paul M. Thompson']
http://dx.doi.org/10.1109/ICCV.2009.5459416 || Studying brain morphometry using conformal equivalence class. || ['Yalin Wang', 'Wei Dai', 'Yi-Yu Chou', 'Xianfeng Gu', 'Tony F. Chan', 'Arthur W. Toga', 'Paul M. Thompson']
http://dx.doi.org/10.1109/ISBI.2009.5193000 || Multivariate Tensor-Based Morphometry on Surfaces: Application to Mapping Ventricular Changes in HIV/AIDS. || ['Yalin Wang', 'Jie Zhang 0026', 'Tony F. Chan', 'Arthur W. Toga', 'Paul M. Thompson']
http://dx.doi.org/10.1007/978-3-642-10331-5_89 || Wavelet-Based Representation of Biological Shapes. || ['Bin Dong', 'Yu Mao', 'Ivo D. Dinov', 'Zhuowen Tu', 'Yonggang Shi', 'Yalin Wang', 'Arthur W. Toga']
http://dx.doi.org/10.1007/978-3-642-04271-3_17 || Teichmüller Shape Space Theory and Its Application to Brain Morphometry. || ['Yalin Wang', 'Wei Dai', 'Xianfeng Gu', 'Tony F. Chan', 'Shing-Tung Yau', 'Arthur W. Toga', 'Paul M. Thompson']
http://dx.doi.org/10.1007/978-3-642-04268-3_42 || Multivariate Tensor-Based Brain Anatomical Surface Morphometry via Holomorphic One-Forms. || ['Yalin Wang', 'Tony F. Chan', 'Arthur W. Toga', 'Paul M. Thompson']
http://dx.doi.org/10.1109/ISBI.2008.4541029 || Brain surface conformal parameterization with the slit mapping. || ['Yalin Wang', 'Xianfeng Gu', 'Tony F. Chan', 'Paul M. Thompson', 'Shing-Tung Yau']
http://dx.doi.org/10.1007/978-3-540-85988-8_59 || Optimized Conformal Parameterization of Cortical Surfaces Using Shape Based Matching of Landmark Curves. || ['Lok Ming Lui', 'Sheshadri R. Thiruvenkadam', 'Yalin Wang', 'Tony F. Chan', 'Paul M. Thompson']
http://dx.doi.org/10.1007/978-3-540-85988-8_70 || Conformal Slit Mapping and Its Applications to Brain Surface Parameterization. || ['Yalin Wang', 'Xianfeng Gu', 'Tony F. Chan', 'Paul M. Thompson', 'Shing-Tung Yau']
http://dx.doi.org/10.1109/TMI.2007.895464 || Brain Surface Conformal Parameterization Using Riemann Surface Structure. || ['Yalin Wang', 'Lok Ming Lui', 'Xianfeng Gu', 'Kiralee M. Hayashi', 'Tony F. Chan', 'Arthur W. Toga', 'Paul M. Thompson', 'Shing-Tung Yau']
http://dx.doi.org/10.1109/ISBI.2007.357101 || Brain Surface Conformal Parameterization with the Ricci Flow. || ['Yalin Wang', 'Xianfeng Gu', 'Tony F. Chan', 'Paul M. Thompson', 'Shing-Tung Yau']
http://dx.doi.org/10.1109/ISBI.2007.357102 || Hippocampal Surface Discrimination via Invariant Descriptors of Spherical Conformals Maps. || ['Boris Gutman', 'Yalin Wang', 'Lok Ming Lui', 'Tony F. Chan', 'Paul M. Thompson']
http://dx.doi.org/10.1016/j.patcog.2005.06.009 || Document zone content classification and its performance evaluation. || ['Yalin Wang', 'Ihsin T. Phillips', 'Robert M. Haralick']
http://dx.doi.org/10.1109/CVPR.2006.67 || Automatic Landmark Tracking and its Application to the Optimization of Brain Conformal Mapping. || ['Lok Ming Lui', 'Yalin Wang', 'Tony F. Chan', 'Paul M. Thompson']
http://dx.doi.org/10.1109/ICICIC.2006.437 || Development of Integration Prediction Model for Alumina Raw Slurry Quality. || ['Zhifeng Qiu', 'Weihua Gui', 'Chunhua Yang', 'Yalin Wang']
http://dx.doi.org/10.1109/ICPR.2006.627 || Hippocampal Surface Analysis Using Spherical Harmonic Function Applied to Surface Conformal Mapping. || ['Boris Gutman', 'Yalin Wang', 'Lok Ming Lui', 'Tony F. Chan', 'Paul M. Thompson']
http://dx.doi.org/10.1109/ISBI.2006.1624888 || Automatic landmark tracking applied to optimize brain conformal mapping. || ['Lok Ming Lui', 'Yalin Wang', 'Tony F. Chan', 'Paul M. Thompson']
http://dx.doi.org/10.1007/11866763_38 || A Landmark-Based Brain Conformal Parametrization with Automatic Landmark Tracking Technique. || ['Lok Ming Lui', 'Yalin Wang', 'Tony F. Chan', 'Paul M. Thompson']
http://dx.doi.org/10.1007/11866763_116 || Brain Surface Conformal Parameterization with Algebraic Functions. || ['Yalin Wang', 'Xianfeng Gu', 'Tony F. Chan', 'Paul M. Thompson', 'Shing-Tung Yau']
None || Combination of Brain Conformal Mapping and Landmarks: A Variational Approach. || ['Yalin Wang', 'Lok Ming Lui', 'Tony F. Chan', 'Paul M. Thompson']
None || Brain Surface Conformal Parameterization. || ['Yalin Wang', 'Xianfeng Gu', 'Kiralee M. Hayashi', 'Tony F. Chan', 'Paul M. Thompson', 'Shing-Tung Yau']
None || 3D Surface Matching with Mutual Information and Riemann Surface Structures. || ['Yalin Wang', 'Ming-Chang Chiang', 'Paul M. Thompson']
http://dx.doi.org/10.1109/ICCV.2005.165 || Mutual Information-Based 3D Surface Matching with Applications to Face Recognition and Brain Mapping. || ['Yalin Wang', 'Ming-Chang Chiang', 'Paul M. Thompson']
http://dx.doi.org/10.1109/ICCV.2005.233 || Surface Parameterization Using Riemann Surface Structure. || ['Yalin Wang', 'Xianfeng Gu', 'Kiralee M. Hayashi', 'Tony F. Chan', 'Paul M. Thompson', 'Shing-Tung Yau']
http://dx.doi.org/10.1007/11566489_81 || Brain Surface Parameterization Using Riemann Surface Structure. || ['Yalin Wang', 'Xianfeng Gu', 'Kiralee M. Hayashi', 'Tony F. Chan', 'Paul M. Thompson', 'Shing-Tung Yau']
http://dx.doi.org/10.1007/11566489_82 || Automated Surface Matching Using Mutual Information Applied to Riemann Surface Structures. || ['Yalin Wang', 'Ming-Chang Chiang', 'Paul M. Thompson']
http://dx.doi.org/10.1007/11566489_83 || Optimization of Brain Conformal Mapping with Landmarks. || ['Yalin Wang', 'Lok Ming Lui', 'Tony F. Chan', 'Paul M. Thompson']
http://dx.doi.org/10.1007/11567646_26 || Solving PDEs on Manifolds with Global Conformal Parametriazation. || ['Lok Ming Lui', 'Yalin Wang', 'Tony F. Chan']
http://dx.doi.org/10.1016/j.engappai.2004.04.018 || Multi-step optimal control of complex process: a genetic programming strategy and its application. || ['Xiaofang Chen', 'Weihua Gui', 'Yalin Wang', 'Lihui Cen']
http://dx.doi.org/10.1016/j.patcog.2004.01.012 || Table structure understanding and its performance evaluation. || ['Yalin Wang', 'Ihsin T. Phillips', 'Robert M. Haralick']
http://dx.doi.org/10.1109/TMI.2004.831226 || Genus zero surface conformal mapping and its application to brain surface mapping. || ['Xianfeng Gu', 'Yalin Wang', 'Tony F. Chan', 'Paul M. Thompson', 'Shing-Tung Yau']
None || Volumetric Harmonic Brain Mapping. || ['Yalin Wang', 'Xianfeng Gu', 'Tony F. Chan', 'Paul M. Thompson', 'Shing-Tung Yau']
http://dx.doi.org/10.1109/VISUAL.2004.75 || Optimal Global Conformal Surface Parameterization. || ['Miao Jin', 'Yalin Wang', 'Shing-Tung Yau', 'Xianfeng Gu']
http://dx.doi.org/10.1007/978-3-540-45087-0_15 || Genus Zero Surface Conformal Mapping and Its Application to Brain Surface Mapping. || ['Xianfeng Gu', 'Yalin Wang', 'Tony F. Chan', 'Paul M. Thompson', 'Shing-Tung Yau']
http://dx.doi.org/10.1007/3-540-45869-7_25 || A Study on the Document Zone Content Classification Problem. || ['Yalin Wang', 'Ihsin T. Phillips', 'Robert M. Haralick']
http://dx.doi.org/10.1007/3-540-45869-7_29 || Detecting Tables in HTML Documents. || ['Yalin Wang', 'Jianying Hu']
http://dx.doi.org/10.1007/3-540-45869-7_31 || Table Detection via Probability Optimization. || ['Yalin Wang', 'Ihsin T. Phillips', 'Robert M. Haralick']
http://dx.doi.org/10.1109/ICPR.2002.1047828 || A Method for Document Zone Content Classification. || ['Yalin Wang', 'Ihsin T. Phillips', 'Robert M. Haralick']
http://doi.acm.org/10.1145/511446.511478 || A machine learning based approach for table detection on the web. || ['Yalin Wang', 'Jianying Hu']
http://dx.doi.org/10.1109/ICDAR.2001.953845 || Automatic Table Ground Truth Generation and a Background-Analysis-Based Table Structure Extraction Method. || ['Yalin Wang', 'Robert M. Haralick', 'Ihsin T. Phillips']
http://dx.doi.org/10.1109/ICDAR.2001.953847 || Zone Content Classification and its Performance Evaluation. || ['Yalin Wang', 'Robert M. Haralick', 'Ihsin T. Phillips']
http://dx.doi.org/10.1109/ICPR.2000.902980 || Statistical-Based Approach to Word Segmentation. || ['Yalin Wang', 'Robert M. Haralick', 'Ihsin T. Phillips']
http://dx.doi.org/10.1109/ICPR.2000.903054 || Algorithm Performance Contest. || ['Selim Aksoy', 'Ming Ye', 'Michael L. Schauf', 'Mingzhou Song', 'Yalin Wang', 'Robert M. Haralick', 'Jim R. Parker', 'Juraj Pivovarov', 'Dominik Royko', 'Changming Sun', 'Gunnar Farnebäck']
http://dx.doi.org/10.1109/NEMS.2015.7147437 || Design of Smart Watch system based on E-paper. || ['Yaling Wang', 'Zhijie Luo', 'Guangdong Qiu', 'Guofu Zhou']
